Cluster Label,Neighborhood,Businesses,Debt Risk Score,Walk Score,Population,Average Income,Number of Cafes,Number of Parks/Playgrounds,Latitude,Longitude
5,"Rosedale-Moore Park, Toronto",683,777,84,7672,213941,0.0,0.0,43.6903876,-79.3832965
6,"Bay Street Corridor, Toronto",4324,755,99,4787,40598,2.0,1.0,43.6644565,-79.38718929999997
