,Businesses,Debt Risk Score,Walk Score,Population,Average Income,Number of Cafes,Number of Parks/Playgrounds,Euclidean Distance
Centroid 0,1.0072204823481414,-0.1863825422859546,-0.49688908759783684,1.8617049382416393,-0.42594112464267186,-0.5274424032269348,-0.403914299069992,2.3205265966919204
Centroid 1,-0.22329716529347265,-0.9302446622995592,0.0030191607929934104,-0.6051155142151464,-0.35721027079153617,-0.14384792815280048,0.6745785200962754,1.3728576912443522
Centroid 2,0.26643722236720285,1.4215290271757668,1.150924916087691,-0.914492334727465,6.890640230840774,-0.5274424032269348,-0.7120551045460684,7.246985491418214
Centroid 3,-0.3054609651438794,-0.7759501177552526,-0.7228750081032805,0.2988396305836165,-0.4332647737897479,-0.4102329802876161,-0.48094950043901097,1.3764375296082152
Centroid 4,-0.28167670729244576,0.9814690186915064,-0.3298775630137698,-0.14762578608509663,0.24344438970838786,-0.5274424032269349,-0.12820936785455522,1.235772666386293
Centroid 5,-0.11348146506068087,0.18392436462038123,1.3666387492974328,-0.9333578475771046,0.12006963206174207,1.965921684754939,-0.33388229782542916,2.6031340214177745
Centroid 6,6.091905580014282,0.6354389265500363,2.4220957189308128,-1.1936051786823898,0.06739160324190725,1.5823272096808045,0.6745785200962754,6.911562372277604
Centroid 7,-0.21715184961819392,0.7872972414436433,1.2780419963720033,-0.07456584148459955,0.664326959371297,0.2637212016134674,2.7545289570597906,3.225562313425843
